topic,year,n_papers,n_authors,topic_share_t1,cross_topic_rate_t1,connectivity_t1,modularity_t1,bridge_concentration_t1,topic_growth,median_cites_2yr,log1p_median_c2,hit_rate_2yr
3D Shape Modeling and Analysis,2020,29,135,0.0113394755492558,0.1636363636363636,2.981818181818182,0.8709101725163595,0.0,0.3075319696591254,4.0,1.6094379124341005,0.0689655172413793
3D Shape Modeling and Analysis,2021,23,117,0.01545842217484,0.2074074074074074,4.414814814814815,0.935093013828206,1.0,-0.4255881622866599,3.0,1.3862943611198906,0.3043478260869565
3D Shape Modeling and Analysis,2023,23,104,0.007602862254025,0.3037974683544304,4.708860759493671,0.8891779396462018,1.0,0.0845326313166001,2.0,1.0986122886681096,0.0869565217391304
Advanced Bandit Algorithms Research,2013,27,66,0.042016806722689,0.15,2.05,0.889946460440214,1.0,0.6036582066617608,3.0,1.3862943611198906,0.0
Advanced Bandit Algorithms Research,2014,28,63,0.0769230769230769,0.2121212121212121,2.393939393939394,0.8852309099222679,0.9597989949748744,-0.0891768740811866,2.0,1.0986122886681096,0.0
Advanced Bandit Algorithms Research,2015,31,87,0.0703517587939698,0.238095238095238,2.095238095238096,0.8966262975778546,0.9680851063829788,0.134812110928391,3.0,1.3862943611198906,0.0
Advanced Bandit Algorithms Research,2016,43,119,0.0805194805194805,0.2298850574712643,2.528735632183908,0.9345020696372046,0.9930555555555556,-0.0402610256531557,2.0,1.0986122886681096,0.0
Advanced Bandit Algorithms Research,2017,47,138,0.0773381294964028,0.1764705882352941,2.823529411764706,0.9426410035430428,1.0,-0.0869417536575793,2.0,1.0986122886681096,0.0212765957446808
Advanced Bandit Algorithms Research,2018,47,145,0.0708898944193061,0.2681159420289855,2.6956521739130435,0.9500293944738388,1.0,-0.4032547809355473,2.0,1.0986122886681096,0.0212765957446808
Advanced Bandit Algorithms Research,2019,87,256,0.0473313192346425,0.2482758620689655,2.6620689655172414,0.9554618915944048,1.0,0.2639472172505033,3.0,1.3862943611198906,0.0229885057471264
